,name,icon_link,tutorial_links,description
0,pandas,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Pandas_logo.svg/2560px-Pandas_logo.svg.png,https://pandas.pydata.org/,"pandas is a fast, powerful, flexible and easy to use open source data analysis and manipulation tool,built on top of the Python programming language."
1,polars,https://raw.githubusercontent.com/pola-rs/polars-static/master/logos/polars-logo-dark-medium.png,https://pola-rs.github.io/polars-book/user-guide/,a lightning fast DataFrame library that: Utilizes all available cores on your machine. Optimizes queries to reduce unneeded work/memory allocations. Handles datasets much larger than your available RAM. Has an API that is consistent and predictable. Has a strict schema (data-types should be known before running the query).
